ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Lyon,2025-07-04 15:22:58,2020-01-29 12:00:00,7.4,4.6,10.0,83,0.494,17.7,35.9,Rain,2020,1,29,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-29 12:00:00,8.9,5.2,13.0,79,0.0,14.8,25.3,Overcast,2020,1,29,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-29 12:00:00,9.6,6.0,13.2,76,0.0,28.0,44.6,Partially cloudy,2020,1,29,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-30 12:00:00,8.1,2.1,13.9,79,0.032,9.4,27.6,Rain,2020,1,30,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-30 12:00:00,5.6,1.0,8.9,90,2.998,15.5,13.9,Rain,2020,1,30,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-30 12:00:00,8.4,4.2,13.3,92,1.458,19.0,18.5,Rain,2020,1,30,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-30 12:00:00,11.0,7.6,14.8,61,0.0,17.4,32.3,Partially cloudy,2020,1,30,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-30 12:00:00,11.0,8.6,14.7,89,1.953,10.7,17.4,Rain,2020,1,30,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-31 12:00:00,11.9,8.8,14.8,79,0.0,16.3,29.4,Partially cloudy,2020,1,31,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-31 12:00:00,12.5,10.0,17.3,87,0.205,12.2,20.5,Rain,2020,1,31,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-31 12:00:00,10.7,6.3,17.3,84,0.0,10.8,15.4,Partially cloudy,2020,1,31,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-31 12:00:00,12.3,11.4,14.0,87,0.014,22.2,22.5,Rain,2020,1,31,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-31 12:00:00,11.2,8.1,16.2,87,0.539,13.1,17.6,Rain,2020,1,31,Hiver,False,True,True,True,70,False
